p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	Diagnosis
3.60363599538882e-07	-0.410682127730535	0.588	0.664	0.012085874401335	ALOX5AP	Control
3.70897561605571e-07	0.142104526992616	1	1	0.0124391624211276	RPL13	Control
4.02198498165151e-07	0.411487601739679	0.606	0.518	0.0134889332314628	CD4	Control
4.18714186421839e-07	0.352011846546635	0.687	0.603	0.0140428363842156	KHDRBS1	Control
4.2523196848394e-07	0.317457105155751	0.684	0.589	0.0142614297590144	PSMB10	Control
4.39548997635088e-07	0.47709535796411	0.513	0.417	0.0147415942826856	KPNB1	Control
4.5368004275107e-07	-2.83385221811921	0.004	0.038	0.0152155212737854	KIR3DL2	Control
4.58374200669654e-07	0.393788281179385	0.591	0.488	0.0153729539420589	MAT2B	Control
4.60316732565424e-07	0.385612244124413	0.46	0.342	0.0154381025767792	CCT6A	Control
4.71227625087235e-07	-0.760788755929491	0.173	0.264	0.0158040320901757	KDM6B	Control
5.04662247581302e-07	0.359718616986168	0.668	0.581	0.0169253624593817	ZYX	Control
5.42741808619104e-07	0.268008508377944	0.812	0.751	0.0182024747774675	PSMA7	Control
5.59888377682033e-07	0.118052024491916	1	1	0.0187775364107	RPL11	Control
5.85082150899812e-07	-0.100344855199552	1	1	0.0196224851768779	RPS28	Control
5.90890659253985e-07	0.637242318043663	0.299	0.203	0.0198172909300601	MID1IP1	Control
5.98860646000493e-07	0.510807663407727	0.409	0.304	0.0200845883455645	PSTPIP1	Control
6.08995501885932e-07	1.15115506740531	0.115	0.053	0.0204244911422504	TNFAIP8L2	Control
6.16438410326758e-07	0.744446552320931	0.222	0.136	0.0206741114055388	KRIT1	Control
6.26368599133421e-07	0.937429722294923	0.172	0.096	0.0210071500777367	GFM1	Control
6.35667249320936e-07	0.378226234738043	0.584	0.496	0.0213190082077256	GHITM	Control
6.65247171291846e-07	-0.658838340004102	0.386	0.474	0.0223110596307859	CD55	Control
6.68795327367685e-07	0.20987971196046	0.944	0.932	0.0224300576892574	ARPC2	Control
7.20944744269502e-07	0.300393333762738	0.848	0.781	0.0241790448333106	MT-ND6	Control
7.59679803884245e-07	0.427495811086693	0.52	0.417	0.0254781412626698	HSPA9	Control
7.64222128586704e-07	0.820388135060175	0.173	0.096	0.0256304817485409	PPIP5K2	Control
7.93992905047889e-07	0.453112204513317	0.424	0.319	0.0266289340494961	RNF139	Control
8.22690360771865e-07	-0.718119317040499	0.195	0.286	0.0275913893195668	PER1	Control
8.58192757019436e-07	0.654725746177599	0.269	0.177	0.0287820686849178	SRP68	Control
8.87693357827077e-07	0.654248743349353	0.272	0.179	0.0297714598348045	USP1	Control
9.10336583110903e-07	0.866158955524181	0.173	0.097	0.0305308683243735	PTGDR	Control
9.26521798529159e-07	0.241256865944143	0.914	0.893	0.0310736880790709	DNAJB1	Control
9.36451150876125e-07	0.57069013174081	0.331	0.233	0.0314066986980835	CALHM2	Control
9.79118293054536e-07	0.667072783706936	0.229	0.142	0.032837669312463	BRIX1	Control
1.02929427290204e-06	0.331465002207554	0.751	0.674	0.0345204713245887	HSPA5	Control
1.05136071821921e-06	0.309085875188382	0.713	0.611	0.0352605357676358	TNFAIP8	Control
1.05494391516349e-06	0.943755360544337	0.159	0.087	0.0353807090267532	LTV1	Control
1.12504922236621e-06	-1.00367658865151	0.051	0.113	0.037731900819718	IFITM3	Control
1.1702162567647e-06	1.26052175031592	0.095	0.04	0.0392467128193746	DOLPP1	Control
1.18280527811666e-06	0.482462270304621	0.422	0.321	0.0396689234174766	TAF15	Control
1.2231941550209e-06	0.417072505436584	0.528	0.426	0.0410234855710908	GPI	Control
1.2645110410961e-06	0.354536846226694	0.618	0.514	0.0424091712962809	XRCC5	Control
1.27313006176723e-06	2.83614638645774	0.033	0.004	0.0426982360115494	CPA5	Control
1.29419669726715e-06	0.531948982528507	0.292	0.195	0.0434047688329457	COMT	Control
1.30003501713167e-06	0.172826507443312	0.988	0.98	0.0436005744045619	MYL6	Control
1.33302140775496e-06	2.61618070251583	0.036	0.005	0.0447068719732857	DOLK	Control
1.39848934390193e-06	0.670736866137921	0.238	0.152	0.046902535615783	NPEPPS	Control
1.43049082966211e-06	0.521822071225779	0.393	0.294	0.0479758014452079	TUBA1C	Control
